dt,close,volume
2018-05-15,283.0,1041560
2018-05-16,286.6,495600
2018-05-17,285.0,432100
2018-05-18,285.0,236440
2018-05-21,280.0,355840
2018-05-22,284.0,570700
2018-05-23,287.0,574100
2018-05-24,285.0,376390
2018-05-25,281.2,486670
2018-05-28,280.4,338540
2018-05-29,283.0,317450
2018-05-30,280.0,1104490
2018-05-31,274.0,2835720
2018-06-01,283.8,750260
2018-06-04,280.4,1839120
2018-06-05,280.2,696340
2018-06-06,280.8,664040
2018-06-07,282.6,435860
2018-06-08,284.0,235220
2018-06-11,285.0,487600
2018-06-13,279.0,1075600
2018-06-14,279.2,1393440
2018-06-18,277.2,609580
2018-06-19,284.0,757250
2018-06-20,279.0,726920
2018-06-21,270.0,1867510
2018-06-22,267.0,1497250
2018-06-25,268.4,757810
2018-06-26,270.6,370900
2018-06-27,271.0,529860
2018-06-28,259.6,1761980
2018-06-29,263.0,378480
2018-07-02,260.0,965510
2018-07-03,260.0,925680
2018-07-04,259.8,1220700
2018-07-05,254.0,635340
2018-07-06,251.0,583500
2018-07-09,245.0,736500
2018-07-10,246.0,535530
2018-07-11,247.2,760520
2018-07-12,249.8,1783980
2018-07-13,251.8,611160
2018-07-16,248.8,273670
2018-07-17,252.6,240860
2018-07-18,254.2,142770
2018-07-19,253.0,164630
2018-07-20,250.0,585790
2018-07-23,250.0,257100
2018-07-24,251.0,224900
2018-07-25,251.2,207290
2018-07-26,256.2,714360
2018-07-27,266.0,646770
2018-07-30,266.0,281580
2018-07-31,270.0,997780
2018-08-01,279.4,789140
2018-08-02,276.0,510190
2018-08-03,277.0,442350
2018-08-06,280.0,355370
2018-08-07,270.0,641970
2018-08-08,276.8,316510
2018-08-09,269.0,448860
2018-08-10,267.0,492160
2018-08-13,270.0,242500
2018-08-14,273.4,394990
2018-08-15,274.0,334270
2018-08-16,266.8,635710
2018-08-17,271.2,985800
2018-08-20,273.0,403650
2018-08-22,286.0,1729220
2018-08-23,293.0,2015570
2018-08-24,288.0,582540
2018-08-28,290.2,836640
2018-08-29,287.4,687570
2018-08-30,286.0,545750
2018-08-31,288.0,1025030
2018-09-03,282.0,347880
2018-09-04,286.6,575500
2018-09-05,285.0,477030
2018-09-06,276.0,745500
2018-09-07,281.0,546950
2018-09-10,278.4,799990
2018-09-11,276.0,358670
2018-09-12,269.0,572730
2018-09-13,277.0,550430
2018-09-14,269.0,560990
2018-09-17,275.0,167450
2018-09-18,272.0,692650
2018-09-19,264.0,542930
2018-09-20,271.0,361700
2018-09-21,272.0,694330
2018-09-24,271.0,207870
2018-09-25,268.8,229530
2018-09-26,266.2,132640
2018-09-27,259.0,804170
2018-09-28,257.0,605490
2018-10-01,252.0,394210
2018-10-02,250.0,913210
2018-10-03,252.0,393580
2018-10-04,252.0,359360
2018-10-05,247.0,897790
2018-10-08,243.0,927610
2018-10-09,252.4,427280
2018-10-10,246.0,390150
2018-10-11,254.0,490960
2018-10-12,262.0,440520
2018-10-15,250.0,480350
2018-10-16,254.2,864680
2018-10-17,258.6,379720
2018-10-18,260.0,328170
2018-10-19,265.0,328340
2018-10-22,272.0,699990
2018-10-23,268.0,688370
2018-10-24,264.2,462050
2018-10-25,262.0,469150
2018-10-26,270.0,698210
2018-10-29,270.0,366380
2018-10-30,264.0,823140
2018-10-31,276.0,1466050
2018-11-05,280.0,1688940
2018-11-06,278.6,646700
2018-11-07,280.0,569150
2018-11-08,280.0,815650
2018-11-09,278.0,333550
2018-11-12,274.0,337800
2018-11-13,272.8,899670
2018-11-14,279.0,677510
2018-11-15,280.0,371040
2018-11-16,282.0,514500
2018-11-19,282.0,562330
2018-11-20,279.0,388900
2018-11-21,282.0,437010
2018-11-22,285.0,589260
2018-11-23,283.0,372480
2018-11-26,280.0,316450
2018-11-27,283.0,712330
2018-11-28,280.0,654090
2018-11-29,278.4,2113500
2018-12-03,286.8,1030870
2018-12-04,289.6,1533830
2018-12-05,294.0,735640
2018-12-06,296.0,504510
2018-12-07,295.0,574500
2018-12-10,291.0,264940
2018-12-11,297.0,602960
2018-12-12,294.0,1701840
2018-12-13,294.6,484920
2018-12-14,298.0,1378350
2018-12-17,300.0,1255210
2018-12-18,301.2,1014270
2018-12-19,305.0,1796000
2018-12-20,303.0,659480
2018-12-21,302.4,715510
2018-12-26,292.0,1087620
2018-12-27,295.0,585760
2018-12-28,291.8,425440
2019-01-02,293.0,181410
2019-01-03,292.0,1665440
2019-01-04,309.0,1622480
2019-01-07,323.0,1004160
2019-01-08,321.0,623090
2019-01-09,319.0,1659810
2019-01-10,314.0,1064200
