,Company Name,Template Name,PSE Form Number,Announce Date and Time,Circular Number,edge_no,url,disclosure_table,Background/Description of the Disclosure,Subject of the Disclosure
10,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-01-17 08:17:00,C00297-2020,eaa4f11c19345ddd0de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=eaa4f11c19345ddd0de8473cebbd6407,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""JFC Mandates Banks for U.S.$ Senior Guaranteed Perpetual Securities"", ""Background/Description of the Disclosure"": ""Jollibee Worldwide Pte. Ltd. (JWPL, the \u201cIssuer\u201d), a wholly owned subsidiary of Jollibee Foods Corporation (the \u201cGuarantor\u201d) has mandated Citigroup Global Markets Singapore Pte. Ltd. (\u201cCitigroup\u201d) and J.P. Morgan (S.E.A.) Limited (\u201cJ.P. Morgan\u201d) as Joint Global Coordinators, and Citigroup, Credit Suisse, J.P. Morgan, and Mizuho Securities as Joint Lead Managers and Joint Bookrunners to arrange a series of fixed income investor meetings in Hong Kong, Singapore, and London commencing on January 13, 2020. A Reg S only U.S. dollar-denominated guaranteed Senior Perpetual Capital Securities offering may follow subject to market conditions.  Proceeds from the contemplated offering are intended primarily to refinance the short-term debt from the acquisition of International Coffee and Tea, LLC (The Coffee Bean & Tea Leaf\u00ae), completed on September 24, 2019, as well as fund initiatives aligned with Issuer\u2019s general corporate purposes. The Securities will be accounted for as equity, and will strengthen the balance sheet of the Guarantor, in line with its policy of prudent financial management."", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}","Jollibee Worldwide Pte. Ltd. (JWPL, the “Issuer”), a wholly owned subsidiary of Jollibee Foods Corporation (the “Guarantor”) has mandated Citigroup Global Markets Singapore Pte. Ltd. (“Citigroup”) and J.P. Morgan (S.E.A.) Limited (“J.P. Morgan”) as Joint Global Coordinators, and Citigroup, Credit Suisse, J.P. Morgan, and Mizuho Securities as Joint Lead Managers and Joint Bookrunners to arrange a series of fixed income investor meetings in Hong Kong, Singapore, and London commencing on January 13, 2020. A Reg S only U.S. dollar-denominated guaranteed Senior Perpetual Capital Securities offering may follow subject to market conditions.  Proceeds from the contemplated offering are intended primarily to refinance the short-term debt from the acquisition of International Coffee and Tea, LLC (The Coffee Bean & Tea Leaf®), completed on September 24, 2019, as well as fund initiatives aligned with Issuer’s general corporate purposes. The Securities will be accounted for as equity, and will strengthen the balance sheet of the Guarantor, in line with its policy of prudent financial management.",JFC Mandates Banks for U.S.$ Senior Guaranteed Perpetual Securities
11,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-01-09 14:03:00,C00142-2020,92218b6c310f9fd50de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=92218b6c310f9fd50de8473cebbd6407,"{""Title of Each Class"": ""COMMON "", ""Subject of the Disclosure"": ""Press Release: 2019 3rd Quarter Financial Results"", ""Background/Description of the Disclosure"": ""JFC Reports its Q3 2019 Financial Results - Sales up 7.7%, Profit Down 7.9%, Total Stores Nearing 6,000"", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""Corazon Palomar"", ""Designation"": ""Assistant Vice President, Investors Relations""}","JFC Reports its Q3 2019 Financial Results - Sales up 7.7%, Profit Down 7.9%, Total Stores Nearing 6,000",Press Release: 2019 3rd Quarter Financial Results
12,Jollibee Foods Corporation,Press Release,4-31,2019-11-14 11:38:00,C08058-2019,2125873d082f7255efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=2125873d082f7255efdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Jollibee Foods Corporation (JFC) and Dim Sum Pte. Ltd. (DSPL) Signs Agreement to Expand and Operate the Tim Ho Wan Brand in China."", ""Background/Description of the Disclosure"": ""Golden Plate Pte. Ltd. (GPPL), a wholly owned subsidiary of JFC, and DSPL executed a Joint Venture Agreement to establish a joint venture company (the \u201cJV\u201d) to be incorporated in the People\u2019s Republic of China (PRC). The JV shall sign a Unit Franchise Agreement with Tim Ho Wan Pte. Ltd. (\u201cFranchisor\u201d), authorized master franchisor of Tim Ho Wan in the Asia-Pacific, to develop and operate Tim Ho Wan stores in Shanghai and such other cities within the PRC as may be agreed with the Franchisor."", ""Date of Approval by Board of Directors"": ""Nov 13, 2019"", ""Date of Approval by Stockholders, if applicable"": ""N/A"", ""Description and nature of the transaction including the timetable for implementation, and related regulatory requirements"": ""\u2022 Signing of Joint Venture Agreement on November 13, 2019 \u2022 Incorporation of JV after signing of Joint Venture Agreement \u2022 Signing by JV of Unit Franchise Agreement (\u201cUFA\u201d) after incorporation of JV."", ""Rationale for the transaction including the benefits which are expected to be accrued to the Issuer as a result of the transaction"": ""The Tim Ho Wan deal provides JFC with an excellent opportunity to operate and expand one of the known Michelin-starred dim sum restaurant chain brands."", ""Amount of investment and/or interest by the parties involved"": ""\u2022 60% GPPL; 40% DSPL \u2022 up to USD 13 Million, of which up to USD 7.8 Million will be contributed by GPPL in proportion to its ownership in the business."", ""Provisions on profit-sharing, arrangements on management and operations"": ""\u2022 60% GPPL; 40% DSPL. The JV shall have its own resources and personnel to operate and manage the business."", ""Conditions precedent to closing of transaction, if any"": ""\u2022 Incorporation of JV \u2022 Signing of UFA"", ""Other salient features of the joint venture agreement"": ""N/A"", ""Name"": ""VALERIE AMANTE"", ""Effect(s) on the business, financial condition and operations of the Issuer, if any"": ""The Tim Ho Wan deal provides JFC with an excellent opportunity to operate and expand one of the known Michelin-starred dim sum restaurant chain brands.The JV is not expected to have an immediate material impact on the JFC Group\u2019s sales, profitability and balance sheet as it is not planning for an aggressive expansion in 3 to 5 years. The first few years will be focused on developing and building the store model and economics."", ""Other Relevant Information"": ""Please see attached Press Release."", ""Designation"": ""VICE-PRESIDENT""}","Golden Plate Pte. Ltd. (GPPL), a wholly owned subsidiary of JFC, and DSPL executed a Joint Venture Agreement to establish a joint venture company (the “JV”) to be incorporated in the People’s Republic of China (PRC). The JV shall sign a Unit Franchise Agreement with Tim Ho Wan Pte. Ltd. (“Franchisor”), authorized master franchisor of Tim Ho Wan in the Asia-Pacific, to develop and operate Tim Ho Wan stores in Shanghai and such other cities within the PRC as may be agreed with the Franchisor.",Jollibee Foods Corporation (JFC) and Dim Sum Pte. Ltd. (DSPL) Signs Agreement to Expand and Operate the Tim Ho Wan Brand in China.
13,Jollibee Foods Corporation,Joint Ventures,4-22,2019-11-14 08:06:00,C08048-2019,ba2a42c295c4952cefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=ba2a42c295c4952cefdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Cash dividend declaration"", ""Background/Description of the Disclosure"": ""Jollibee Foods Corporation (JFC) announced that its Board of Directors approved today, November 11, 2019, a cash dividend of Php1.35 per share of common stock for all shareholders of record as of November 26, 2019 (ex-dividend date of November 21, 2019). This will be distributed on December 10, 2019. This cash dividend is 0.7% higher than the cash dividend per share declared on November 9, 2018.The total cash dividends declared in 2019 is Php2.58 per share, an increase of 4.0% versus the total cash dividends declared in 2018."", ""Date of Approval by Board of Directors"": ""Nov 11, 2019"", ""Other Relevant Regulatory Agency, if applicable"": ""N/A"", ""Date of Approval by Relevant Regulatory Agency, if applicable"": ""N/A"", ""Type (Regular or Special)"": ""REGULAR"", ""Amount of Cash Dividend Per Share"": ""Php1.35"", ""Record Date"": ""Nov 26, 2019"", ""Payment Date"": ""Dec 10, 2019"", ""Source of Dividend Payment"": ""Unappropriated retained earnings as of 2016."", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""Corazon Palomar"", ""Designation"": ""Assistant Vice President, Investors Relations""}","Jollibee Foods Corporation (JFC) announced that its Board of Directors approved today, November 11, 2019, a cash dividend of Php1.35 per share of common stock for all shareholders of record as of November 26, 2019 (ex-dividend date of November 21, 2019). This will be distributed on December 10, 2019. This cash dividend is 0.7% higher than the cash dividend per share declared on November 9, 2018.The total cash dividends declared in 2019 is Php2.58 per share, an increase of 4.0% versus the total cash dividends declared in 2018.",Cash dividend declaration
14,Jollibee Foods Corporation,Declaration of Cash Dividends,6-1,2019-11-11 14:52:00,C07937-2019,dfca1fdb569e514befdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=dfca1fdb569e514befdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Update of Corporate Contact Details"", ""Background/Description of the Disclosure"": ""In compliance with National Telecommunication Commission\u2019s mandated migration from 7-digit to 8-digit telephone numbers, please be informed that, effective October 6, 2019, the new trunkline number of Jollibee Foods Corporation shall be updated to +632 8634 1111."", ""Old Business Address"": ""10/F Jollibee Plaza Building, 10 F. Ortigas Jr. Avenue, Ortigas Center, Pasig City"", ""New Business Address"": ""10/F Jollibee Plaza Building, 10 F. Ortigas Jr. Avenue, Ortigas Center, Pasig City"", ""Telephone Numbers"": ""(+632) 8634-1111"", ""Fax Numbers"": ""none"", ""E-mail Address"": ""ir@jollibee.com.ph"", ""Old Company Website"": ""http://www.jollibee.com.ph"", ""New Company Website"": ""http://www.jollibee.com.ph"", ""Effective Date "": ""Oct 6, 2019"", ""Other Relevant Information"": ""-"", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}","In compliance with National Telecommunication Commission’s mandated migration from 7-digit to 8-digit telephone numbers, please be informed that, effective October 6, 2019, the new trunkline number of Jollibee Foods Corporation shall be updated to +632 8634 1111.",Update of Corporate Contact Details
15,Jollibee Foods Corporation,Change in Corporate Contact Details and/or Website,4-6,2019-10-07 12:42:00,C06883-2019,82c4db16905317afefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=82c4db16905317afefdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""JFC to increase investment in Buyer of Tim Ho Wan Franchisee"", ""Background/Description of the Disclosure"": ""Further to its May 8, 2018 disclosure, JFC disclosed today that the fund size of Titan Dining LP (\u201cTitan\u201d), of which Jollibee Worldwide Pte. Ltd. (JWPL) is an investor, will be increased from SGD100Mn to SGD200Mn, and that in connection therewith, JWPL will increase its capital commitment to Titan from SGD45Mn to SGD120Mn. As a result, JFC\u2019s investment will constitute 60% of the fund. The increase in fund size and additional capital commitment of JWPL are in furtherance of certain strategic projects currently being undertaken by Titan, consistent with its mandate to invest in the food service sector and grow strong Asia Pacific food service brands."", ""Other Relevant Information"": ""None"", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}","Further to its May 8, 2018 disclosure, JFC disclosed today that the fund size of Titan Dining LP (“Titan”), of which Jollibee Worldwide Pte. Ltd. (JWPL) is an investor, will be increased from SGD100Mn to SGD200Mn, and that in connection therewith, JWPL will increase its capital commitment to Titan from SGD45Mn to SGD120Mn. As a result, JFC’s investment will constitute 60% of the fund. The increase in fund size and additional capital commitment of JWPL are in furtherance of certain strategic projects currently being undertaken by Titan, consistent with its mandate to invest in the food service sector and grow strong Asia Pacific food service brands.",JFC to increase investment in Buyer of Tim Ho Wan Franchisee
16,Jollibee Foods Corporation,[Amend-1]Material Information/Transactions,4-30,2019-10-02 15:46:00,C06683-2019,aa8cc394d59aba14efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=aa8cc394d59aba14efdfc15ec263a54d,"{""Title of Each Class"": ""Common"", ""Subject of the Disclosure"": ""JFC Completes the Acquisition of 100% of The Coffee Bean & Tea Leaf\u00ae"", ""Background/Description of the Disclosure"": ""Further to its July 24, 2019 disclosure, Jollibee Foods Corporation (JFC), one of Asia\u2019s largest food service companies, disclosed today that it completed the acquisition of 100% of The Coffee Bean & Tea Leaf\u00ae (CBTL) specialty coffee and tea brand, based in Los Angeles, California, USA. The closing of the transaction was effected after the parties had completed the necessary closing conditions, including required government approvals, provided under the executed purchase agreement."", ""Date of Approval by Board of Directors"": ""Jul 24, 2019"", ""Date of Approval by Stockholders"": ""N/A"", ""Other Relevant Regulatory Agency, if applicable"": ""United States Federal Trade Commission and Department of Justice"", ""Date of Approval by Relevant Regulatory Agency"": ""N/A"", ""Rationale for the transaction including the benefits which are expected to be accrued to the Issuer as a result of the transaction"": ""The acquisition of The Coffee Bean & Tea Leaf\u00ae brand will be JFC\u2019s largest and most multinational so far with business presence in 27 countries. This will add 14% to its global system wide sales, 26% to its total store network, will bring international business\u2019 contribution to 36% of worldwide sales and will bring JFC closer to its vision to be one of the top 5 restaurant companies in the world in terms of market capitalization. Combined with Highlands Coffee, with business mostly in Vietnam, this acquisition will enable JFC to become an important player in the large, fast growing and profitable coffee business. CBTL will be JFC\u2019s second largest business after Jollibee brand while coffee business will account for 14% of JFC\u2019s worldwide system sales. Our priority is to accelerate the growth of The Coffee Bean and Tea Leaf\u00ae brand particularly in Asia, by strengthening its brand development, marketing and franchise support system."", ""Description of the transaction including the timetable for implementation and related regulatory requirements, if any"": ""The total consideration for this acquisition is USD350 million on a debt-free basis (the acquired business will have no debt upon acquisition). On September 24, 2019, the acquisition of CBTL has been completed after obtaining the necessary government approvals in the United States and meeting the closing conditions provided under the purchase agreement."", ""Name"": ""VALERIE AMANTE"", ""The nature and amount of consideration (e.g. price per share, the aggregate amount)"": ""JFC, through Java Ventures, paid the Sellers in cash."", ""Basis upon which the amount of consideration or value of the transaction was determined"": ""The purchase price of the transaction is based on a negotiated price between the parties."", ""The number of shares to be acquired "": ""128,471,534.20 Common Units and 7,993,784.33 Incentive Units"", ""Ratio/percentage to total outstanding capital stock"": ""100"", ""Terms of payment"": ""The purchase price in the amount of USD350 million was paid in cash at closing. Jollibee Foods Corporation has funded the acquisition through bridge loans entered into by JWPL with several financial institutions."", ""Conditions precedent to closing of the transaction, if any"": ""The transaction has closed."", ""Nature and business"": ""ICT is in the business of owning, operating and franchising coffee shops operating under the trade name Coffee Bean & Tea Leaf."", ""Discussion of major projects and investments"": ""Headquartered in Los Angeles, California, ICT owns and franchises Coffee Bean & Tea Leaf locations in the US and various countries worldwide."", ""Type of Security"": ""Common Units"", ""Amount"": ""Not applicable to a limited liability company."", ""Number of Shares"": ""-"", ""Effect(s)/impact on the business, financial condition and operations of the Issuer"": ""The acquisition of The Coffee Bean & Tea Leaf\u00ae brand will be JFC\u2019s largest and most multinational so far with business presence in 27 countries. This will add 14% to its global system wide sales, 26% to its total store network, will bring international business\u2019 contribution to 36% of worldwide sales and will bring JFC closer to its vision to be one of the top 5 restaurant companies in the world in terms of market capitalization. Combined with Highlands Coffee, with business mostly in Vietnam, this acquisition will enable JFC to become an important player in the large, fast growing and profitable coffee business. CBTL will be JFC\u2019s second largest business after Jollibee brand while coffee business will account for 14% of JFC\u2019s worldwide system sales. Our priority is to accelerate the growth of The Coffee Bean and Tea Leaf\u00ae brand particularly in Asia, by strengthening its brand development, marketing and franchise support system."", ""Other Relevant Information"": ""Please see attached Press Release and 2018 Audited Financial Statements of International Coffee & Tea, LLC and Subsidaries.This disclosure was amended to inform the public that the transaction has been completed on September 24, 2019."", ""Designation"": ""VICE-PRESIDENT""}","Further to its July 24, 2019 disclosure, Jollibee Foods Corporation (JFC), one of Asia’s largest food service companies, disclosed today that it completed the acquisition of 100% of The Coffee Bean & Tea Leaf® (CBTL) specialty coffee and tea brand, based in Los Angeles, California, USA. The closing of the transaction was effected after the parties had completed the necessary closing conditions, including required government approvals, provided under the executed purchase agreement.",JFC Completes the Acquisition of 100% of The Coffee Bean & Tea Leaf®
17,Jollibee Foods Corporation,[Amend-1]Substantial Acquisitions,5-1,2019-09-24 15:43:00,C06513-2019,5f4a0f8dcc843123efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=5f4a0f8dcc843123efdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Clarification of News Report"", ""Source"": ""Manila Bulletin (Online Edition)"", ""Subject of News Report"": ""Philippine fast food specialist Jollibee hungry to expand in US, China"", ""Date of Publication"": ""Sep 13, 2019"", ""Clarification of News Report"": ""Excerpt of our response is found below:\u201cMANILA \u2013 Jollibee Foods Corp (JFC.PS), the Philippine fast food specialist known for fried \u2018Chickenjoy\u2019 and chopped hotdogs in sweet spaghetti sauce, is doubling down on expansion plans in the United States and China that are likely to include more M&A..Helped by the purchase of California-based Coffee Bean & Tea Leaf in July and having taken full control of Denver-based Smashburger in 2018, it wants to earn 30% of its revenue in the United States in a decade\u2019s time, executives told Reuters.It is also aiming to lift revenue in China to 30% of overall sales, while the Philippines would fall to 30%.That would represent a major rejig of revenue streams for Jollibee, which ranks No. 4 among Asia\u2019s listed quick service restaurant firms, and would build upon plans to cut its reliance on its domestic market to 50% of sales in the \u2018medium term\u2019.. . . .\u201dOn behalf of Mr. Baysa, we respond as follows: We confirm that the above statements that were posted in the September 13, 2019 online edition of Manila Bulletin are correct. To further clarify, the long-term goals of JFC are to have 3 strong pillars of growth \u2013 Philippines, China and USA. However, it does not mean that the Philippine business will slow down, the intention is to have its foreign business grow faster than its Philippine business. The time frame for this is 10 years or more."", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}",,Clarification of News Report
18,Jollibee Foods Corporation,Clarification of News Reports,4-13,2019-09-16 11:10:00,C06341-2019,20e3e1ed5b14f168efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=20e3e1ed5b14f168efdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Approval to revert the Management Stock Option and Incentive Plan to the system approved on November 23, 2015. This nullified the system that was approved on April 11 and June 27, 2019."", ""Background/Description of the Disclosure"": ""The Management Stock Option and Incentive Plan was revised with approval by the Board and ratification of the stockholders on November 23, 2015. This was revised further on April 11 and June 27, 2019 with the approval of the Board.Upon recommendation of the Compensation Committee of the Board of Directors, the same stock option and incentive plan is being reverted to its November 23, 2015 system per approval by the Board of Directors in its meeting this afternoon, September 6, 2019.The amendment approved last November 23, 2015 pertained to the amendment to the provision on maximum number of shares which reads as follows: \u201cThe maximum number of Shares in respect of which Stock Options/Incentives may be granted under the Plan shall be in such number as may be determined by the Compensation Committee.\u201d."", ""Other Relevant Information"": ""Amended disclosure is being submitted to reflect the following:1. Date of board approval2. Clarification on the nature of amendment made on the November 23, 2015 Plan."", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}","The Management Stock Option and Incentive Plan was revised with approval by the Board and ratification of the stockholders on November 23, 2015. This was revised further on April 11 and June 27, 2019 with the approval of the Board.Upon recommendation of the Compensation Committee of the Board of Directors, the same stock option and incentive plan is being reverted to its November 23, 2015 system per approval by the Board of Directors in its meeting this afternoon, September 6, 2019.The amendment approved last November 23, 2015 pertained to the amendment to the provision on maximum number of shares which reads as follows: “The maximum number of Shares in respect of which Stock Options/Incentives may be granted under the Plan shall be in such number as may be determined by the Compensation Committee.”.","Approval to revert the Management Stock Option and Incentive Plan to the system approved on November 23, 2015. This nullified the system that was approved on April 11 and June 27, 2019."
19,Jollibee Foods Corporation,[Amend-1]Material Information/Transactions,4-30,2019-09-06 15:50:00,C06179-2019,6ab5515794cf7b3defdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=6ab5515794cf7b3defdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Approval to revert the Management Stock Option and Incentive Plan to the system approved on November 23, 2015. This nullified the system that was approved on April 11 and June 27, 2019."", ""Background/Description of the Disclosure"": ""The Management Stock Option and Incentive Plan was revised with approval by the Board and ratification of the stockholders on November 23, 2015. This was revised further on April 11 and June 27, 2019 with the approval of the Board.Upon recommendation of the Compensation Committee of the Board of Directors, the same stock option and incentive plan is being reverted to its November 23, 2015 system."", ""Other Relevant Information"": ""None."", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}","The Management Stock Option and Incentive Plan was revised with approval by the Board and ratification of the stockholders on November 23, 2015. This was revised further on April 11 and June 27, 2019 with the approval of the Board.Upon recommendation of the Compensation Committee of the Board of Directors, the same stock option and incentive plan is being reverted to its November 23, 2015 system.","Approval to revert the Management Stock Option and Incentive Plan to the system approved on November 23, 2015. This nullified the system that was approved on April 11 and June 27, 2019."
20,Jollibee Foods Corporation,Material Information/Transactions,4-30,2019-09-06 15:17:00,C06175-2019,94ef6f470f799b82efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=94ef6f470f799b82efdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Press Release: 2019 2nd Quarter Financial Results"", ""Background/Description of the Disclosure"": ""JFC Sales Growth Improves, Eyes Profit Recovery in 2020"", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""Corazon Palomar"", ""Designation"": ""Director, Investors Relations""}","JFC Sales Growth Improves, Eyes Profit Recovery in 2020",Press Release: 2019 2nd Quarter Financial Results
21,Jollibee Foods Corporation,Press Release,4-31,2019-08-05 15:01:00,C05440-2019,7cfaae46011a1b67efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=7cfaae46011a1b67efdfc15ec263a54d,"{""Title of Each Class"": ""COMMON"", ""Subject of the Disclosure"": ""Clarification of News Report"", ""Source"": ""Manila Bulletin (Online Edition)"", ""Subject of News Report"": ""Philippines\u2019 Jollibee sets sights on Indonesia with Coffee Bean beachhead"", ""Date of Publication"": ""Jul 31, 2019"", ""Clarification of News Report"": ""Excerpt of our response is found below:\u201cMANILA \u2013 Philippines\u2019 Jollibee Foods Corp (JFC.PS) is training its sights on Indonesia, with newly acquired US chain Coffee Bean & Tea Leaf its entry point in the economically expanding and densely populated Southeast Asian neighbor, its top officials said.Jollibee has for years planned to bring its Chickenjoy fried chicken and sweet spaghetti restaurants to Indonesia, but last week\u2019s $100 million investment for the struggling coffee chain has bought it a foothold in the market of 260 million people.\u2018One thing that might emerge and very interesting is Indonesia,\u2019 Chief Financial Officer Ysmael Baysa told Reuters.. . . .\u2018Coffee Bean gives us an immediate presence in Indonesia and also gives us a platform on which we can further expand our business there,\u2019 Baysa said.Jollibee\u2019s purchase of money-losing Coffee Bean from private equity firm Advent International and others was its largest foreign acquisition to date, and its second coffee brand after Highlands Coffee in Vietnam. Coffee Bean has 101 outlets in Indonesia among its 1,189 branches across 27 countries.. . . .Jollibee is eyeing a turnaround of Coffee Bean to make it profitable in 12-18 months, Baysa said. Coffee Bean posted $313 million in revenue and a net loss of $21 million last year.. . . .Jollibee President and Chief Executive Ernesto Tanmantiong said the firm aims for 50% of sales to come from overseas within three to five years, from about 27% now.It aims to be among the world\u2019s five biggest fast-food firms, he said, adding it has no qualms about delving into a coffee market peppered with big names such as Starbucks Corp (SBUX.O) and Tim Hortons.\u2018It\u2019s a very big market to enter,\u2019 he told Reuters, adding that the company would continue to broaden its portfolio of businesses when it sees good opportunities.. . . . .\u201dOn behalf of Mr. Baysa, we respond as follows: We confirm that the above statements that were posted in the July 31, 2019 online edition of Manila Bulletin are correct."", ""Other Relevant Information"": ""Please see attachment."", ""Name"": ""VALERIE AMANTE"", ""Designation"": ""VICE-PRESIDENT""}",,Clarification of News Report
