dt,close,volume
2019-06-10,280.0,468090
2019-06-11,285.0,536820
2019-06-13,289.0,717140
2019-06-14,286.0,578850
2019-06-17,282.0,551770
2019-06-18,282.0,683400
2019-06-19,281.0,461510
2019-06-20,284.8,455850
2019-06-21,288.0,1273820
2019-06-24,287.0,530980
2019-06-25,286.8,800460
2019-06-26,285.0,278760
2019-06-27,284.0,358860
2019-06-28,281.8,587180
2019-07-01,284.0,258770
2019-07-02,285.0,191510
2019-07-03,285.0,311030
2019-07-04,285.8,228480
2019-07-05,285.0,335280
2019-07-08,282.0,317970
2019-07-09,284.0,244110
2019-07-10,282.0,745130
2019-07-11,281.0,1022180
2019-07-12,280.4,906650
2019-07-15,285.6,1211860
2019-07-16,284.6,882710
2019-07-17,282.0,503210
2019-07-18,280.0,330400
2019-07-19,279.8,622360
2019-07-22,275.0,1115340
2019-07-23,272.8,875030
2019-07-24,251.0,5746140
2019-07-25,236.0,10785110
2019-07-26,252.0,4396700
2019-07-29,252.8,2056700
2019-07-30,255.0,1597640
2019-07-31,259.0,1761680
2019-08-01,260.0,707840
2019-08-02,258.0,791650
2019-08-05,247.0,1793250
2019-08-06,235.0,2676260
2019-08-07,231.0,2161100
2019-08-08,230.0,1463450
2019-08-09,225.0,1669050
2019-08-13,217.4,1578160
2019-08-14,234.2,1470580
2019-08-15,235.2,1056160
2019-08-16,237.0,766170
2019-08-19,234.0,859570
2019-08-20,225.2,1045490
2019-08-22,225.0,891050
2019-08-23,230.0,603580
2019-08-27,230.0,1535510
2019-08-28,228.2,579100
2019-08-29,233.6,532340
2019-08-30,237.8,1522100
2019-09-02,235.6,444890
2019-09-03,231.0,553680
2019-09-04,228.0,388340
2019-09-05,229.0,477980
2019-09-06,229.0,764640
2019-09-09,225.8,403590
2019-09-10,227.0,337930
2019-09-11,226.2,710030
2019-09-12,222.4,3944530
2019-09-13,222.2,420990
2019-09-16,224.0,442140
2019-09-17,230.6,563060
2019-09-18,223.2,316300
2019-09-19,223.0,424150
2019-09-20,220.0,1051740
2019-09-23,220.2,1247580
2019-09-24,220.0,844440
2019-09-25,219.0,1038710
2019-09-26,219.0,355870
2019-09-27,220.2,1260580
2019-09-30,222.0,499940
2019-10-01,220.0,453570
2019-10-02,220.8,594020
2019-10-03,218.6,1103310
2019-10-04,220.2,600610
2019-10-07,220.0,1867940
2019-10-08,226.0,904760
2019-10-09,229.0,555720
2019-10-10,229.0,906250
2019-10-11,231.2,216770
2019-10-14,234.6,366980
2019-10-15,233.4,718800
2019-10-16,233.0,203210
2019-10-17,235.0,327640
2019-10-18,230.0,398090
2019-10-21,226.2,237180
2019-10-22,227.2,404690
2019-10-23,225.2,346370
2019-10-24,227.6,710950
2019-10-25,226.2,107870
2019-10-28,223.0,501830
2019-10-29,229.8,834110
2019-10-30,232.0,329130
2019-10-31,232.0,480610
2019-11-04,233.0,248530
2019-11-05,233.0,669370
2019-11-06,227.0,672150
2019-11-07,226.0,279580
2019-11-08,228.0,394910
2019-11-11,224.0,808840
2019-11-12,220.0,734710
2019-11-13,213.2,1331770
2019-11-14,202.6,1497490
2019-11-15,202.0,1104080
2019-11-18,202.0,796290
2019-11-19,204.4,495140
2019-11-20,204.0,405110
2019-11-21,198.6,781770
2019-11-22,195.0,843410
2019-11-25,186.2,1107270
2019-11-26,184.1,2546200
2019-11-27,197.9,1099600
2019-11-28,195.0,674160
2019-11-29,192.0,779240
2019-12-02,197.9,411200
2019-12-03,192.0,621320
2019-12-04,198.0,466630
2019-12-05,205.0,533030
2019-12-06,202.0,330360
2019-12-09,206.6,314690
2019-12-10,201.0,183340
2019-12-11,207.6,259440
2019-12-12,216.0,806660
2019-12-13,221.2,875710
2019-12-16,223.6,1003110
2019-12-17,225.0,1157490
2019-12-18,225.0,935250
2019-12-19,216.0,597720
2019-12-20,213.0,1402670
2019-12-23,220.0,394710
2019-12-26,216.2,238960
2019-12-27,216.0,302990
2020-01-02,213.0,377920
2020-01-03,214.8,1396990
2020-01-06,213.0,444130
2020-01-07,217.0,777460
2020-01-08,210.2,414790
2020-01-09,207.0,463590
2020-01-10,206.6,304320
2020-01-14,212.0,447000
2020-01-15,206.0,308320
2020-01-16,201.0,703890
2020-01-17,213.6,481370
2020-01-20,212.8,310910
2020-01-21,209.4,225600
2020-01-22,209.0,367870
2020-01-23,211.6,278020
2020-01-24,217.0,596560
2020-01-27,213.2,219790
2020-01-28,205.0,795770
2020-01-29,203.6,318090
2020-01-30,200.2,580180
2020-01-31,191.2,876750
2020-02-03,196.0,426520
2020-02-04,195.0,1281730
2020-02-05,190.6,1369170
2020-02-06,191.9,1475450
2020-02-07,192.5,283570
2020-02-10,190.0,514380
2020-02-11,192.0,811210
2020-02-12,192.0,507220
2020-02-13,195.0,275400
2020-02-14,185.2,727570
2020-02-17,188.8,281170
2020-02-18,185.2,500990
2020-02-19,184.0,1798180
2020-02-20,188.0,1087480
2020-02-21,189.0,1135990
2020-02-24,185.6,1239120
2020-02-26,175.1,2328310
2020-02-27,174.5,652780
2020-02-28,170.0,1743110
2020-03-02,167.1,990990
2020-03-03,168.0,1158580
2020-03-04,174.6,869400
2020-03-05,184.0,1144230
2020-03-06,176.5,637540
2020-03-09,163.0,1144100
2020-03-10,158.0,1251780
2020-03-11,166.3,916340
2020-03-12,153.0,1198200
2020-03-13,140.5,2203770
2020-03-16,121.0,2237330
2020-03-19,91.1,3310100
2020-03-20,100.0,1994100
2020-03-23,95.0,2580240
2020-03-24,95.0,1597120
2020-03-25,98.45,4027090
2020-03-26,102.2,3227240
2020-03-27,107.0,3592270
2020-03-30,103.0,801630
2020-03-31,106.4,1549020
2020-04-01,103.2,2526960
2020-04-02,102.0,1284860
2020-04-03,102.0,846300
2020-04-06,106.0,1865350
2020-04-07,110.5,2745330
2020-04-08,120.0,2922350
