Security Name,Symbol,Last Trade Date,Last Trade Price,Outstanding Shares
"UNIOIL RESOURCES & HOLDINGS COMPANY, INC.",UNI,"May 17, 2018",0.246,1589559977
UNITED PARAGON MINING CORPORATION,UPM,"Jan 10, 2020",0.006,261314797080
UNIVERSAL ROBINA CORPORATION,URC,"Jan 10, 2020",140.3,2204161868
"VANTAGE EQUITIES, INC.",V,"Jan 10, 2020",1.07,4199582266
VITARICH CORPORATION,VITA,"Jan 10, 2020",1.25,3054334014
"VISTA LAND & LIFESCAPES, INC.",VLL,"Jan 10, 2020",7.53,12698007676
"VICTORIAS MILLING COMPANY, INC.",VMC,"Jan 09, 2020",2.58,2742050564
VULCAN INDUSTRIAL & MINING,VUL,"Jan 10, 2020",0.95,1450000000
VIVANT CORPORATION,VVT,"Jan 09, 2020",14.9,1023456698
PHILWEB CORPORATION,WEB,"Jan 10, 2020",2.58,1435776680
"WELLEX INDUSTRIES, INC.",WIN,"Jan 10, 2020",0.203,3271938180
"WILCON DEPOT, INC.",WLCON,"Jan 10, 2020",18.2,4099724116
"WATERFRONT PHILIPPINES, INC.",WPI,"Jan 10, 2020",0.62,2498991753
"ZEUS HOLDINGS, INC.",ZHI,"Jan 10, 2020",0.198,2737044807
