2GO	2GO Group, Inc.
PHN	Phinma Corporation
PHR	PH Resorts Group Holdings, Inc.
PIP	Pepsi-Cola Products Philippines, Inc.
PIZZA	Shakey's Pizza Asia Ventures, Inc.
PLC	Premium Leisure Corp.
PMPC	Panasonic Manufacturing Phils. Corp.
PNB	Philippine National Bank
PNX	Phoenix Petroleum Philippines, Inc.
PNX3A	Phoenix Petroleum - Non-Voting Pref. 3A
PNX3B	Phoenix Petroleum - Non-Voting Pref. 3B
PNXP	Phoenix Petroleum - Perpetual Pref.
PORT	Globalport 900, Inc.
PPC	Pryce Corporation
PRC	Philippine Racing Club, Inc.
PRF2A	Petron Corp. - Perpetual Pref. Series 2A
PRF2B	Petron Corp. - Perpetual Pref. Series 2B
PRF3B	Petron Corp. - Perpetual Pref. Series 3B
PRIM	Prime Media Holdings, Inc.
PRMX	Primex Corporation
PSB	Philippine Savings Bank
PSE	The Philippine Stock Exchange, Inc
PTC	Philippine Trust Company
PX	Philex Mining Corporation
PXP	PXP Energy Corporation
RCB	Rizal Commercial Banking Corp.
RCI	Roxas and Company, Inc.
REG	Republic Glass Holdings Corp.
RFM	RFM Corporation
RLC	Robinson Land Corporation
RLT	Philippine Realty and Holdings Corp.
ROCK	Rockwell Land Corporation
ROX	Roxas Holdings, Inc.
RRHI	Robinsons Retail Holdings, Inc.
SBS	SBS Philippines Corporation
SCC	Semirara Mining and Power Corporation
SECB	Security Bank Corporation
SEVN	Philippine Seven Corporation
SFI	Swift Foods, Inc.
SFIP	Swift Foods, Inc. Conv. Pref.
SGI	Solid Group, Inc.
SGP	Synergy Grid and Dev't Phils., Inc.
SHLPH	Pilipinas Shell Petroleum Corporation
SHNG	Shang Properties, Inc.
SLF	Sun Life Financial, Inc.
SLI	Sta. Lucia Land, Inc.
SM	SM Investments Corporation
SMC	San Miguel Corporation
SMC2A	San Miguel Corporation Series 2-A Pref.
SMC2B	San Miguel Corporation Series 2-B Pref.
SMC2C	San Miguel Corporation Series 2-C Pref.
SMC2D	San Miguel Corporation Series 2-D Pref.
SMC2E	San Miguel Corporation Series 2-E Pref.
SMC2F	San Miguel Corporation Series 2-F Pref.
SMC2G	San Miguel Corporation Series 2-G Pref.
SMC2H	San Miguel Corporation Series 2-H Pref.
SMC2I	San Miguel Corporation Series 2-I Pref.
SMPH	SM Prime Holdings, Inc.
SOC	SOCResources, Inc.
SPC	SPC Power Corporation
SPM	Seafront Resources Corporation
SRDC	Supercity Realty Development Corporation
SSI	SSI Group, Inc.
SSP	SFA Semicon Philippines Corporation
STI	STI Education Systems Holdings, Inc.
STR	Vistamalls, Inc.
SUN	Suntrust Home Developers, Inc.
T	TKC Metals Corporation
TBGI	Transpacific Broadband Group Int'l. Inc.
TECH	Cirtek Holdings Philippines Corporation
TEL	PLDT, Inc.
TFC	PTFC Redevelopment Corporation
TFHI	Top Frontier Investment Holdings, Inc.
TUGS	Harbor Star Shipping Services, Inc.
UBP	Union Bank of the Philippines
UNI	Unioil Resources and Holdings Co., Inc.
UPM	United Paragon Mining Corporation
URC	Universal Robina Corporation
V	Vantage Equities, Inc.
VITA	Vitarich Corporation
VLL	Vista Land and Lifescapes, Inc.
VMC	Victorias Milling Company, Inc.
VUL	Vulcan Industrial and Mining Corporation
VVT	Vivant Corporation
WEB	Philweb Corporation
WIN	Wellex Industries, Inc.
WLCON	Wilcon Depot, Inc.
WPI	Waterfront Philippines, Inc.
X	Xurpas Inc.
ZHI	Zeus Holdings, Inc.
